bf325b1 - Simon Shillaker, 7 months ago : Add wait.c
2396985 - Carlos, 9 months ago : Merge pull request #2 from faasm/add-tempnam
ada3b11 - Carlos Segarra, 9 months ago : adding tempnam in header
e9ad56d - Simon Shillaker, 1 year, 1 month ago : Thread-safe dlmalloc
28cbcca - Simon Shillaker, 1 year, 1 month ago : Undefine MORECORE_CANNOT_TRIM
5abd417 - Simon Shillaker, 1 year, 1 month ago : Switch on memory shrinking
6607550 - Simon Shillaker, 1 year, 6 months ago : Merge branch 'faasm' of github.com:faasm/wasi-libc into faasm
a7a40a5 - Simon Shillaker, 1 year, 6 months ago : Remove libc nuking of sysroot
26d4201 - Carlos Segarra, 1 year, 6 months ago : Merge pull request #1 from faasm/lammps
9fa9d98 - Carlos Segarra, 1 year, 7 months ago : conditionally including the definition for popen to support lammps x-comp
f5d43bb - Simon Shillaker, 1 year, 7 months ago : Latest simd header
5e4600b - Simon Shillaker, 1 year, 7 months ago : Added fenv.h
c96a7f8 - Simon Shillaker, 1 year, 8 months ago : Add tmpfile
d1c980f - Simon Shillaker, 1 year, 8 months ago : mkdtemp
43c5961 - Simon Shillaker, 1 year, 9 months ago : Add more RLIMITs
3f6c672 - Simon Shillaker, 2 years, 1 month ago : getpagesize
7d6c06e - Simon Shillaker, 2 years, 1 month ago : DUP
39ac043 - Simon Shillaker, 2 years, 1 month ago : dup and abort
c23335e - Simon Shillaker, 2 years, 1 month ago : Reverted
cf04ce9 - Simon Shillaker, 2 years, 1 month ago : another crt
c4837fd - Simon Shillaker, 2 years, 1 month ago : Properly remove ctors from _start
9493269 - Simon Shillaker, 2 years, 1 month ago : Missing headers
f962c10 - Simon Shillaker, 2 years, 1 month ago : Manually call __wasm_call_ctors()
0b9c87f - Simon Shillaker, 2 years, 1 month ago : Couple more compat tweaks
3f936cb - Simon Shillaker, 2 years, 1 month ago : More permissive headers for Faasm
87fc47b - Simon Shillaker, 2 years, 1 month ago : More sockets
7ea43e9 - Simon Shillaker, 2 years, 1 month ago : Couple of socket constants
5034571 - Simon Shillaker, 2 years, 1 month ago : More python compat stuff
8f3c198 - Simon Shillaker, 2 years, 1 month ago : getuid, getpid etc.
0380389 - Simon Shillaker, 2 years, 1 month ago : F_DUPFD
c81ed1b - Simon Shillaker, 2 years, 1 month ago : Force mmap high-level linking
52060a7 - Simon Shillaker, 2 years, 1 month ago : Removing atomics
8a48c04 - Simon Shillaker, 2 years, 1 month ago : More tweaks
6352074 - Simon Shillaker, 2 years, 1 month ago : Simd header
2385d97 - Simon Shillaker, 2 years, 1 month ago : Added syscall()
f19c8ed - Simon Shillaker, 2 years, 1 month ago : More tweaks
a68165e - Simon Shillaker, 2 years, 1 month ago : More fiddles
4caa81c - Simon Shillaker, 2 years, 1 month ago : syscall.h
1012c7e - Simon Shillaker, 2 years, 1 month ago : Faasm def
677a4ca - Simon Shillaker, 2 years, 1 month ago : Removing threading warnings. Adding syscalls
da216ae - Simon Shillaker, 2 years, 1 month ago : More pthread fiddles
f3a94b3 - Simon Shillaker, 2 years, 1 month ago : Attempt to resurrect pthreads
62de1af - Simon Shillaker, 2 years, 1 month ago : Faasm thread model
41af0db - Dan Gohman, 2 years, 1 month ago : Makefile refactoring; NFC (#186)
9efc2f4 - Dan Gohman, 2 years, 1 month ago : Lazy-initialize the environment variables. (#184)
38b930a - Sam Clegg, 2 years, 1 month ago : Fix -std=gnu17 when generating predefined_macros.txt (#187)
42e6901 - Dan Gohman, 2 years, 1 month ago : Mention libcxx and libcxxabi too.
c33ea73 - Dan Gohman, 2 years, 2 months ago : Update WASI Libc's README.md.

